Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
resnet50,0.7667,0.825,0.785,0.7583,0.7967,0.7267,0.8417,0.5183,0.88,0.7665
resnet101,0.785,0.8367,0.705,0.775,0.8483,0.7183,0.83,0.5417,0.8733,0.7681
densenet121,0.9383,0.97,0.85,0.975,0.9817,0.9417,0.96,0.9533,0.9733,0.9493
densenet169,0.955,0.97,0.8183,0.975,0.98,0.9383,0.9683,0.955,0.9783,0.9487
vgg16,0.9283,0.9733,0.83,0.97,0.9633,0.9333,0.97,0.9133,0.9817,0.9404
vgg19,0.9183,0.9733,0.7367,0.9683,0.9617,0.9383,0.97,0.8333,0.98,0.92
alexnet,0.9267,0.975,0.825,0.975,0.9783,0.9583,0.9633,0.6183,0.9833,0.9115
resnext50_32x4d,0.7483,0.8167,0.59,0.7383,0.7717,0.7067,0.8133,0.4833,0.8383,0.723
resnext101_32x8d,0.8083,0.8583,0.65,0.8267,0.9133,0.7617,0.8633,0.6517,0.9067,0.8044
shufflenet_v2_x1_0,0.8717,0.965,0.72,0.9317,0.9767,0.8817,0.965,0.9483,0.9733,0.9148
mobilenet_v2,0.78,0.9133,0.71,0.815,0.9217,0.785,0.905,0.8983,0.9067,0.8483
mnasnet0_5,0.8433,0.97,0.7033,0.9133,0.9433,0.905,0.965,0.945,0.9633,0.9057
vit_base_patch16_224,0.9733,0.9933,0.865,0.9817,0.9867,0.9783,0.9917,0.9383,0.99,0.9665
vit_base_patch32_224,0.9717,0.9917,0.8767,0.99,0.9883,0.98,0.9917,0.9633,0.995,0.972
vit_large_patch16_224,0.985,0.9967,0.8683,0.9917,0.985,0.9833,0.9967,0.9833,0.9967,0.9763
vit_small_patch32_224,0.97,0.985,0.8917,0.99,0.9933,0.9683,0.9717,0.9367,0.995,0.9669
deit3_small_patch16_224,0.9167,0.9917,0.7983,0.9733,0.97,0.9517,0.955,0.855,0.99,0.9335
vit_base_patch8_224,0.9683,0.9933,0.855,0.985,0.985,0.9733,0.995,0.8817,0.9933,0.9589
vit_tiny_patch16_224,0.9533,0.98,0.865,0.985,0.985,0.97,0.9533,0.895,0.9867,0.9526
vit_small_patch16_224,0.97,0.9917,0.8583,0.99,0.985,0.98,0.975,0.9383,0.9933,0.9646
vit_base_patch16_384,0.975,0.985,0.895,0.9883,0.9867,0.9767,0.985,0.9633,0.985,0.9711
vit_tiny_patch16_384,0.965,0.9933,0.8083,0.9883,0.9883,0.9833,0.9733,0.9,0.9933,0.9548
vit_small_patch32_384,0.9767,0.9917,0.9067,0.995,0.99,0.9883,0.975,0.9483,0.9967,0.9743
vit_small_patch16_384,0.9767,0.9917,0.8333,0.99,0.99,0.99,0.975,0.945,0.9917,0.9648
vit_base_patch32_384,0.9817,0.9917,0.8833,0.9933,0.985,0.9883,0.99,0.965,0.995,0.9748
Average,0.9141,0.9569,0.8051,0.9385,0.9542,0.9163,0.9497,0.8549,0.9656,
