Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_small_patch16_224 + vit_base_patch16_224,0.9589,0.9750,0.8944,0.9250,0.8694,0.9750,0.9750,0.9750,0.9750,0.9470
vit_small_patch32_224 + vit_small_patch16_224,0.9427,0.9500,0.9105,0.9589,0.8782,0.9589,0.9750,0.9750,0.9750,0.9471
vit_base_patch16_224 + vit_small_patch32_224,0.9750,0.9750,0.9355,0.8677,0.9266,0.9500,0.9750,0.9589,0.9750,0.9487
vit_small_patch16_224 + vit_base_patch16_224 + vit_small_patch32_224,0.9750,0.9750,0.9194,0.9750,0.8944,0.9500,0.9750,0.9750,0.9750,0.9571
Average,0.9629,0.9688,0.9149,0.9317,0.8921,0.9585,0.9750,0.9710,0.9750,
