Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_large_patch16_224 + vit_base_patch32_384,0.9933,0.9950,0.8800,0.9900,0.9900,0.9867,0.9967,0.9833,0.9983,0.9793
vit_large_patch16_224 + vit_small_patch32_384,0.9883,0.9967,0.9000,0.9917,0.9883,0.9900,0.9967,0.9850,0.9983,0.9817
vit_base_patch32_384 + vit_small_patch32_384,0.9900,0.9917,0.9133,0.9900,0.9867,0.9850,0.9867,0.9700,0.9950,0.9787
vit_large_patch16_224 + vit_base_patch32_384 + vit_small_patch32_384,0.9900,0.9967,0.8933,0.9917,0.9867,0.9917,0.9983,0.9833,0.9967,0.9809
Average,0.9904,0.9950,0.8967,0.9908,0.9879,0.9883,0.9946,0.9804,0.9971,
