Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_large_patch16_224 + vit_base_patch32_384,0.9883,0.9967,0.6667,0.9917,0.9883,0.9933,0.9967,0.97,0.9967,0.9543
vit_large_patch16_224 + vit_small_patch32_384,0.99,0.9983,0.6983,0.9933,0.9883,0.985,0.995,0.965,0.9967,0.9567
vit_base_patch32_384 + vit_small_patch32_384,0.985,0.9933,0.725,0.99,0.9917,0.9883,0.99,0.9783,0.995,0.9596
vit_large_patch16_224 + vit_base_patch32_384 + vit_small_patch32_384,0.9933,0.995,0.6783,0.9933,0.9867,0.9917,0.9983,0.98,0.9967,0.957
Average,0.9892,0.9958,0.6921,0.9921,0.9887,0.9896,0.995,0.9733,0.9963,
