Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_small_patch16_224 + vit_base_patch16_224,0.9339,0.975,0.6177,0.8839,0.9032,0.8589,0.975,0.975,0.975,0.8997
vit_small_patch32_224 + vit_small_patch16_224,0.9105,1,0.6016,0.9177,0.871,0.8839,0.975,0.9427,0.975,0.8975
vit_base_patch16_224 + vit_small_patch32_224,0.9589,0.9589,0.6355,0.9839,0.846,0.9,0.975,0.9427,0.975,0.9084
vit_small_patch16_224 + vit_base_patch16_224 + vit_small_patch32_224,0.9589,0.9589,0.5177,0.8855,0.8871,0.925,0.975,0.9427,0.975,0.8918
Average,0.9405,0.9732,0.5931,0.9177,0.8768,0.8919,0.975,0.9508,0.975,
